satnum,satname,vmag,delta,flux,JD0,JD1,camid,type,version,annulus,launch,sun_alt,sun_az,inc,alt,az,range,ra,dec,height,phase_angle,vmag_norm_550,vmag_norm_1000
51802U,STARLINK-3557,5.116508017150947,0.04248983238901719,60039.55511809807,2459876.51800695,2459876.518080827,LSC,standard,1.5,20411,2022-02-25,-18.918893842182978,244.079684745531,53.2154,76.50696875631533,161.26001248053618,561.9884714544867,22.238789249995975,-42.025470967071755,550.0913157881442,106.71644655237951,5.06968443157272,6.3678709841015015
51802U,STARLINK-3557,5.1704919272285945,0.04079109953600368,56299.993453634735,2459876.518080827,2459876.518154693,LSC,standard,1.5,20033,2022-02-25,-18.939747411072542,244.06318444835333,53.2154,72.21318730980542,155.44293120973873,573.0102235747165,22.54554413523039,-45.16973827749776,550.2079583575155,107.58078282578963,5.081493521385768,6.37968007391455
51802U,STARLINK-3557,5.852919451135133,0.08052602919140858,31160.223944248064,2459876.518154693,2459876.518228559,LSC,standard,1.5,10457,2022-02-25,-18.96059502980199,244.04668035402204,53.2154,67.9964198942605,151.97479360391867,587.2242001230346,22.87189161297572,-47.99375230213547,550.3245687426859,108.30131503561343,5.710713173574722,7.008899726103503
48399U,STARLINK-2587,5.926685891973884,0.06861657694304954,28593.913435553088,2459876.846884288,2459876.846958165,LSC,visorsat,1.0,11255,2021-05-04,-20.5892728109021,117.42152330845902,53.0534,72.74674858871086,119.48216568679047,578.6826050489943,7.025546035486968,-36.41601463728059,557.1380265052338,93.34921299393149,5.816297200175983,7.114483752704763
48399U,STARLINK-2587,5.938950652280589,0.08287407583221357,27890.412577306146,2459876.846958165,2459876.847032042,LSC,visorsat,1.0,10205,2021-05-04,-20.568658000817692,117.40453495221361,53.0534,71.25976563470806,105.45827958856103,583.0337004610899,7.214600552722204,-32.47791758590532,557.0225764232919,92.2052210340743,5.812295807077762,7.110482359606542
53410U,STARLINK-4492,5.965247548305678,0.06269141322493794,27605.871795025774,2459876.853015584,2459876.853089461,LSC,standard,1.5,10331,2022-08-10,-18.86790050004222,116.03376970587232,53.2133,73.10926152355154,78.60517101332158,570.1204257605237,7.140538975331755,-24.645675667385397,549.8746556906877,95.23094456592331,5.887227991807151,7.185414544335932
48669U,STARLINK-2707,2.3793910118889006,0.0315339246340053,804527.1941958157,2459876.845332899,2459876.845406776,LSC,visorsat,1.0,20243,2021-05-26,-21.02143906825874,117.7798244046181,53.05579999999999,60.76080650899788,102.54297987424765,628.063048917629,7.998847675440108,-31.204396256634944,557.1946195385335,82.71322984900797,2.0911882436789817,3.3893747962077625
48669U,STARLINK-2707,2.6374158554959752,0.035190587093539595,649348.5439306502,2459876.845406776,2459876.845480653,LSC,visorsat,1.0,20747,2021-05-26,-21.000891506669845,117.76269455341479,53.05579999999999,57.74849482178925,107.26446593379195,646.0465197950147,8.250812215549177,-33.40140100693649,557.3107705347304,79.24040067362193,2.2879103464061026,3.5860968989348834
48669U,STARLINK-2707,3.2891690926686206,0.0528578920358865,347249.3251144796,2459876.845480653,2459876.845554531,LSC,visorsat,1.0,15917,2021-05-26,-20.980340588419537,117.74557139856617,53.05579999999999,54.760008924519596,111.02642644384471,666.5357567156288,8.500979738695083,-35.36029228845479,557.4269405836222,75.96327478349266,2.871865278309045,4.170051830837825
51808U,STARLINK-3609,5.523462252578165,0.1845662099003341,47117.517126556115,2459876.85368048,2459876.853754357,LSC,standard,1.5,8861,2022-02-25,-18.679990862949865,115.88589965828643,53.2151,66.66644409645838,283.07893511221266,590.6917562868376,4.301792315404912,-21.805754036783576,548.7016355714414,131.29863749353584,5.368471150687849,6.6666577032166305
